"Store","Magasin"
"Stores","Magasins"
"ID","ID"
"Name","Nom"
"Address","Adresse"
"Postal Code","Code Postal"
"Zipcode","Code Postal"
"City","Ville"
"Country","Pays"
"Store View","Vue Magasin"
"Status","Statut"
"CSV","CSV"
"Delete","Supprimer"
"Are you sure?","Êtes-vous sûr ?"
"Change status","Changer le statut"
"Save Store","Sauvegarder le Magasin"
"Delete Store","Supprimer le Magasin"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Edit Store","Modifier le Magasin"
"New Store","Nouveau Magsin"
"Description","Description"
"Latitude","Latitude"
"Longitude","Longitude"
"Enabled","Activé"
"Disabled","Désactivé"
"Store Information","Information du Magasin"
"The store has been saved.","Le Magasin a bien été sauvegardé"
"An error occurred while saving this store.","Une erreur est survenue durant la sauvegarde."
"Store was successfully deleted","Magasin correctement supprimé"
"Total of %d record(s) were successfully deleted","%d enregistrement(s) supprimé(s)"
"Total of %d record(s) were successfully updated","%d enregistrement(s) mis à jour"
"Reset","Réinitialiser"
"Back","Retour"
"Export","Exporter"
"Add New","Ajouter un nouveau magasin"
"All Countries","Tous les pays"
"Any","Aucun"
"Yes","Oui"
"No","Non"
"Submit","Envoyer"
"Reset Filter","Réinitialiser le filtre"
"Search","Chercher"
"API Key","Clé d'API"
"API Url","Url de l'API"
"Api Sensor","Autoriser la géolocalisation"
"You can the sensor to use the geolocation","Vous pouvez autoriser l'API à vous géolocaliser"
"Enter here the Google API Url. Use the default value : http://maps.googleapis.com/maps/api/js?v=3","Entrez ici l'Url de l'API Google. Par défaut : http://maps.googleapis.com/maps/api/js?v=3"
"Enter here the Google API key","Entrez ici la clé d'API Google"
"General options","Options Générales"